team,spell_no,manager,start_date,end_date,matches,stand_in_matches,first_season,last_season,change_timing
Arsenal,1,Arsène Wenger,2014-08-16,2018-05-13,152,0,2014/15,2017/18,
Arsenal,2,Unai Emery,2018-08-12,2019-11-23,51,0,2018/19,2019/20,between_seasons
Arsenal,3,Freddie Ljungberg,2019-12-01,2019-12-21,5,0,2019/20,2019/20,mid_season
Arsenal,4,Mikel Arteta,2019-12-26,2026-05-24,248,1,2019/20,2025/26,mid_season
Aston Villa,1,Paul Lambert,2014-08-16,2015-02-10,25,0,2014/15,2014/15,
Aston Villa,2,Tim Sherwood,2015-02-21,2015-10-24,23,0,2014/15,2015/16,mid_season
Aston Villa,3,Kevin MacDonald,2015-11-02,2015-11-02,1,0,2015/16,2015/16,mid_season
Aston Villa,4,Rémi Garde,2015-11-08,2016-03-19,20,0,2015/16,2015/16,mid_season
Aston Villa,5,Eric Black,2016-04-02,2016-05-15,7,0,2015/16,2015/16,mid_season
Aston Villa,6,Dean Smith,2019-08-10,2021-11-05,87,0,2019/20,2021/22,between_seasons
Aston Villa,7,Steven Gerrard,2021-11-20,2022-10-20,38,0,2021/22,2022/23,mid_season
Aston Villa,8,Aaron Danks,2022-10-23,2022-10-29,2,0,2022/23,2022/23,mid_season
Aston Villa,9,Unai Emery,2022-11-06,2026-05-24,139,0,2022/23,2025/26,mid_season
Bournemouth,1,Eddie Howe,2015-08-08,2020-07-26,190,0,2015/16,2019/20,
Bournemouth,2,Scott Parker,2022-08-06,2022-08-27,4,0,2022/23,2022/23,between_seasons
Bournemouth,3,Gary O'Neil,2022-08-31,2023-05-28,34,0,2022/23,2022/23,mid_season
Bournemouth,4,Andoni Iraola,2023-08-12,2026-05-24,114,0,2023/24,2025/26,between_seasons
Brentford,1,Thomas Frank,2021-08-13,2025-05-25,152,0,2021/22,2024/25,
Brentford,2,Keith Andrews,2025-08-17,2026-05-24,38,0,2025/26,2025/26,between_seasons
Brighton,1,Chris Hughton,2017-08-12,2019-05-12,76,0,2017/18,2018/19,
