team,spell_no,manager,start_date,end_date,matches,stand_in_matches,first_season,last_season,change_timing,wiki_row,wiki_prev_manager,prev_departure,position_at_vacancy,appointment_date,wiki_verified,appointment_type
Arsenal,1,Arsène Wenger,2014-08-16,2018-05-13,152,0,2014/15,2017/18,,,,,,,False,
Arsenal,2,Unai Emery,2018-08-12,2019-11-23,51,0,2018/19,2019/20,between_seasons,50,Arsène Wenger,retired,Pre-season,2018-05-23,True,permanent
Arsenal,3,Freddie Ljungberg,2019-12-01,2019-12-21,5,0,2019/20,2019/20,mid_season,,,,,,False,caretaker
Arsenal,4,Mikel Arteta,2019-12-26,2026-05-24,248,1,2019/20,2025/26,mid_season,65,Unai Emery,sacked,8th,2019-12-20,True,permanent
Aston Villa,1,Paul Lambert,2014-08-16,2015-02-10,25,0,2014/15,2014/15,,,,,,,False,
Aston Villa,2,Tim Sherwood,2015-02-21,2015-10-24,23,0,2014/15,2015/16,mid_season,8,Paul Lambert,sacked,18th,2015-02-14,True,permanent
Aston Villa,3,Kevin MacDonald,2015-11-02,2015-11-02,1,0,2015/16,2015/16,mid_season,,,,,,False,caretaker
Aston Villa,4,Rémi Garde,2015-11-08,2016-03-19,20,0,2015/16,2015/16,mid_season,16,Tim Sherwood,sacked,19th,2015-11-02,True,permanent
Aston Villa,5,Eric Black,2016-04-02,2016-05-15,7,0,2015/16,2015/16,mid_season,21,Rémi Garde,mutual_consent,20th,2016-03-29,True,permanent
Aston Villa,6,Dean Smith,2019-08-10,2021-11-05,87,0,2019/20,2021/22,between_seasons,,,,,,False,appointed_outside_pl
Aston Villa,7,Steven Gerrard,2021-11-20,2022-10-20,38,0,2021/22,2022/23,mid_season,82,Dean Smith,sacked,15th,2021-11-11,True,permanent
Aston Villa,8,Aaron Danks,2022-10-23,2022-10-29,2,0,2022/23,2022/23,mid_season,96,Steven Gerrard,sacked,17th,2022-10-21,True,caretaker
Aston Villa,9,Unai Emery,2022-11-06,2026-05-24,139,0,2022/23,2025/26,mid_season,97,Aaron Danks,end_of_caretaker,16th,2022-11-01,True,permanent
Bournemouth,1,Eddie Howe,2015-08-08,2020-07-26,190,0,2015/16,2019/20,,,,,,,False,
Bournemouth,2,Scott Parker,2022-08-06,2022-08-27,4,0,2022/23,2022/23,between_seasons,,,,,,False,caretaker
Bournemouth,3,Gary O'Neil,2022-08-31,2023-05-28,34,0,2022/23,2022/23,mid_season,92,Scott Parker,sacked,17th,2022-08-30,True,permanent
Bournemouth,4,Andoni Iraola,2023-08-12,2026-05-24,114,0,2023/24,2025/26,between_seasons,115,Gary O'Neil,sacked,Pre-season,2023-06-19,True,permanent
Brentford,1,Thomas Frank,2021-08-13,2025-05-25,152,0,2021/22,2024/25,,,,,,,False,
Brentford,2,Keith Andrews,2025-08-17,2026-05-24,38,0,2025/26,2025/26,between_seasons,137,Thomas Frank,left_for_new_job,Pre-season,2025-06-27,True,permanent
Brighton,1,Chris Hughton,2017-08-12,2019-05-12,76,0,2017/18,2018/19,,,,,,,False,
Brighton,2,Graham Potter,2019-08-10,2022-09-04,120,1,2019/20,2022/23,between_seasons,60,Chris Hughton,sacked,Pre-season,2019-05-20,True,permanent
Brighton,3,Roberto De Zerbi,2022-10-01,2024-05-19,70,0,2022/23,2023/24,mid_season,94,Graham Potter,left_for_new_job,4th,2022-09-18,True,permanent
Brighton,4,Fabian Hürzeler,2024-08-17,2026-05-24,76,0,2024/25,2025/26,between_seasons,120,Roberto De Zerbi,mutual_consent,Pre-season,2024-06-15,True,permanent
Burnley,1,Sean Dyche,2014-08-18,2022-04-10,258,0,2014/15,2021/22,,,,,,,False,
