season,team,outgoing,departure,vacancy_date,position,incoming,incoming_is_caretaker,appointment_date,departure_type
2014/15,West Brom,Pepe Mel,Mutual consent,2014-05-12,Pre-season,Alan Irvine,False,2014-06-14,mutual_consent
2014/15,Tottenham,Tim Sherwood,Sacked,2014-05-13,Pre-season,Mauricio Pochettino,False,2014-05-27,sacked
2014/15,Southampton,Mauricio Pochettino,Signed by Tottenham,2014-05-27,Pre-season,Ronald Koeman,False,2014-06-16,left_for_new_job
2014/15,Crystal Palace,Tony Pulis,Mutual consent,2014-08-14,Pre-season,Neil Warnock,False,2014-08-27,mutual_consent
2014/15,Crystal Palace,Neil Warnock,Sacked,2014-12-27,18th,Alan Pardew,False,2015-01-02,sacked
2014/15,West Brom,Alan Irvine,Sacked,2014-12-29,16th,Tony Pulis,False,2015-01-01,sacked
2014/15,Newcastle,Alan Pardew,Signed by Crystal Palace,2015-01-02,10th,John Carver,False,2015-01-26,left_for_new_job
2014/15,QPR,Harry Redknapp,Resigned,2015-02-03,19th,Chris Ramsey,False,2015-02-12,resigned
2014/15,Aston Villa,Paul Lambert,Sacked,2015-02-11,18th,Tim Sherwood,False,2015-02-14,sacked
2014/15,Sunderland,Gus Poyet,Sacked,2015-03-16,17th,Dick Advocaat,False,2015-03-17,sacked
2015/16,West Ham,Sam Allardyce,End of contract,2015-05-24,Pre-season,Slaven Bilić,False,2015-06-09,end_of_contract
2015/16,Watford,Slaviša Jokanović,End of contract,2015-06-05,Pre-season,Quique Sánchez Flores,False,2015-06-05,end_of_contract
2015/16,Newcastle,John Carver,Sacked,2015-06-09,Pre-season,Steve McClaren,False,2015-06-10,sacked
2015/16,Leicester,Nigel Pearson,Sacked,2015-06-30,Pre-season,Claudio Ranieri,False,2015-07-13,sacked
2015/16,Sunderland,Dick Advocaat,Resigned,2015-10-04,19th,Sam Allardyce,False,2015-10-09,resigned
2015/16,Liverpool,Brendan Rodgers,Sacked,2015-10-04,10th,Jürgen Klopp,False,2015-10-08,sacked
2015/16,Aston Villa,Tim Sherwood,Sacked,2015-10-25,19th,Rémi Garde,False,2015-11-02,sacked
2015/16,Swansea,Garry Monk,Sacked,2015-12-09,15th,Alan Curtis,False,2016-01-07,sacked
2015/16,Chelsea,José Mourinho,Sacked,2015-12-17,16th,Guus Hiddink,False,2015-12-19,sacked
2015/16,Swansea,Alan Curtis,End of caretaker spell,2016-01-18,18th,Francesco Guidolin,False,2016-01-18,end_of_caretaker
2015/16,Newcastle,Steve McClaren,Sacked,2016-03-11,19th,Rafael Benítez,False,2016-03-11,sacked
2015/16,Aston Villa,Rémi Garde,Mutual consent,2016-03-29,20th,Eric Black,False,2016-03-29,mutual_consent
2015/16,Everton,Roberto Martínez,Sacked,2016-05-12,12th,David Unsworth Joe Royle,True,2016-05-12,sacked
2016/17,Man United,Louis van Gaal,Sacked,2016-05-23,Pre-season,José Mourinho,False,2016-05-27,sacked
2016/17,Southampton,Ronald Koeman,Signed by Everton,2016-06-14,Pre-season,Claude Puel,False,2016-06-30,left_for_new_job
2016/17,Everton,David Unsworth Joe Royle,End of caretaker spell,2016-06-14,Pre-season,Ronald Koeman,False,2016-06-14,end_of_caretaker
2016/17,Chelsea,Guus Hiddink,End of caretaker spell,2016-06-30,Pre-season,Antonio Conte,False,2016-07-01,end_of_caretaker
2016/17,Man City,Manuel Pellegrini,End of contract,2016-06-30,Pre-season,Pep Guardiola,False,2016-07-01,end_of_contract
2016/17,Watford,Quique Sánchez Flores,Mutual consent,2016-06-30,Pre-season,Walter Mazzarri,False,2016-07-01,mutual_consent
2016/17,Hull,Steve Bruce,Resigned,2016-07-22,Pre-season,Mike Phelan,False,2016-07-22,resigned
2016/17,Sunderland,Sam Allardyce,Signed by England,2016-07-22,Pre-season,David Moyes,False,2016-07-23,left_for_new_job
2016/17,Swansea,Francesco Guidolin,Sacked,2016-10-03,17th,Bob Bradley,False,2016-10-03,sacked
2016/17,Crystal Palace,Alan Pardew,Sacked,2016-12-22,17th,Sam Allardyce,False,2016-12-23,sacked
2016/17,Swansea,Bob Bradley,Sacked,2016-12-27,19th,Paul Clement,False,2017-01-02,sacked
2016/17,Hull,Mike Phelan,Sacked,2017-01-03,20th,Marco Silva,False,2017-01-05,sacked
2016/17,Leicester,Claudio Ranieri,Sacked,2017-02-23,17th,Craig Shakespeare,False,2017-03-12,sacked
2016/17,Middlesbrough,Aitor Karanka,Mutual consent,2017-03-16,19th,Steve Agnew,True,2017-03-16,mutual_consent
2017/18,Watford,Walter Mazzarri,Mutual consent,2017-05-21,Pre-season,Marco Silva,False,2017-05-27,mutual_consent
2017/18,Crystal Palace,Sam Allardyce,Resigned,2017-05-23,Pre-season,Frank de Boer,False,2017-06-26,resigned
2017/18,Southampton,Claude Puel,Sacked,2017-06-14,Pre-season,Mauricio Pellegrino,False,2017-06-23,sacked
2017/18,Crystal Palace,Frank de Boer,Sacked,2017-09-11,19th,Roy Hodgson,False,2017-09-12,sacked
2017/18,Leicester,Craig Shakespeare,Sacked,2017-10-17,18th,Claude Puel,False,2017-10-25,sacked
2017/18,Everton,Ronald Koeman,Sacked,2017-10-23,18th,Sam Allardyce,False,2017-11-30,sacked
2017/18,West Ham,Slaven Bilić,Sacked,2017-11-06,18th,David Moyes,False,2017-11-07,sacked
2017/18,West Brom,Tony Pulis,Sacked,2017-11-20,17th,Alan Pardew,False,2017-11-29,sacked
2017/18,Swansea,Paul Clement,Sacked,2017-12-20,20th,Carlos Carvalhal,False,2017-12-28,sacked
2017/18,Stoke,Mark Hughes,Sacked,2018-01-06,18th,Paul Lambert,False,2018-01-15,sacked
2017/18,Watford,Marco Silva,Sacked,2018-01-21,10th,Javi Gracia,False,2018-01-21,sacked
2017/18,Southampton,Mauricio Pellegrino,Sacked,2018-03-12,17th,Mark Hughes,False,2018-03-14,sacked
2017/18,West Brom,Alan Pardew,Mutual consent,2018-04-02,20th,Darren Moore,True,2018-04-02,mutual_consent
2018/19,Arsenal,Arsène Wenger,Retired,2018-05-13,Pre-season,Unai Emery,False,2018-05-23,retired
2018/19,Everton,Sam Allardyce,Sacked,2018-05-16,Pre-season,Marco Silva,False,2018-05-31,sacked
