team,understat_name
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brentford,Brentford
Brighton,Brighton
Burnley,Burnley
Cardiff,Cardiff
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Huddersfield,Huddersfield
Hull,Hull
Ipswich,Ipswich
Leeds,Leeds
Leicester,Leicester
Liverpool,Liverpool
Luton,Luton
Man City,Manchester City
Man United,Manchester United
Middlesbrough,Middlesbrough
Newcastle,Newcastle United
Norwich,Norwich
Nott'm Forest,Nottingham Forest
QPR,Queens Park Rangers
Sheffield United,Sheffield United
Southampton,Southampton
Stoke,Stoke
Sunderland,Sunderland
Swansea,Swansea
Tottenham,Tottenham
Watford,Watford
West Brom,West Bromwich Albion
West Ham,West Ham
Wolves,Wolverhampton Wanderers
