season,date,team,manager,appointment_type,n_controls,points_before,points_after,points_effect,pts_vs_exp_effect,xg_diff_effect
2014/15,2014-12-28,Crystal Palace,Keith Millen,caretaker,111,0.7,1.5,0.40180180180180186,0.3141619418284833,-0.3148347443243244
2014/15,2015-01-01,Newcastle,John Carver,caretaker_made_permanent,177,1.6,0.9,-0.5406779661016949,-0.5808232704807124,-0.28240606203389834
2014/15,2015-01-01,West Brom,Rob Kelly,caretaker,88,0.7,1.6,0.5465909090909091,0.41705294744784493,0.19200915624999998
2014/15,2015-02-07,QPR,Chris Ramsey,caretaker_made_permanent,118,0.8,0.7,-0.4805084745762712,-0.3426235015564806,-1.1580229675423728
2014/15,2015-02-21,Aston Villa,Tim Sherwood,permanent,14,0.3,1.3,0.37857142857142845,0.24170445923842987,0.4321544685714287
2015/16,2015-11-02,Aston Villa,Kevin MacDonald,caretaker,49,0.4,0.4,-0.6551020408163266,-0.4576501404193881,-1.17283924122449
2015/16,2015-12-12,Swansea,Alan Curtis,caretaker_made_permanent,146,0.6,1.3,0.24589041095890407,0.31598903907660986,-0.034726605547945155
2015/16,2015-12-19,Chelsea,Steve Holland,caretaker,152,0.8,1.8,0.6098684210526316,0.6570692515142783,0.13221424506578944
2015/16,2016-03-14,Newcastle,Rafael Benítez,permanent,88,0.7,1.3,0.24659090909090914,0.1370942643376336,0.29208872625
2016/17,2016-12-26,Crystal Palace,Sam Allardyce,permanent,57,0.4,1.0,-0.0736842105263158,-0.20258990359169682,-0.033640772280701725
2016/17,2016-12-31,Swansea,Alan Curtis,caretaker,118,0.8,1.5,0.31949152542372883,0.4682599682079553,-0.2682719575423729
2016/17,2017-01-14,Hull,Marco Silva,permanent,146,0.6,1.4,0.34589041095890394,0.34499270727207204,-0.04346850554794518
2016/17,2017-02-27,Leicester,Craig Shakespeare,caretaker_made_permanent,85,0.5,2.2,1.1541176470588237,1.0209514066028738,0.2798815411764705
2016/17,2017-03-19,Middlesbrough,Steve Agnew,caretaker,57,0.4,0.6,-0.4736842105263158,-0.27388319243525217,-0.48292894228070177
2017/18,2017-11-19,West Ham,David Moyes,permanent,211,0.9,1.2,-0.062085308056872124,0.08905659116722653,0.26211585085308053
2017/18,2017-11-25,West Brom,Gary Megson,caretaker,49,0.4,0.6,-0.45510204081632666,-0.3690270389020734,-0.09279764122448975
2017/18,2017-12-23,Swansea,Leon Britton,caretaker,33,0.4,1.5,0.38787878787878793,0.608352644502446,-0.3940277906060606
2017/18,2018-01-15,Stoke,Eddie Niedzwiecki,caretaker,111,0.7,0.7,-0.3981981981981982,-0.2300630146672762,-0.09531524432432448
2017/18,2018-01-31,Watford,Javi Gracia,permanent,102,0.5,1.1,0.013725490196078494,0.14149926806501012,-0.17709130196078443
2018/19,2018-11-24,Fulham,Claudio Ranieri,permanent,85,0.5,0.9,-0.14588235294117646,-0.12537639346001883,0.32144414117647074
2018/19,2018-12-05,Southampton,Kelvin Davis,caretaker,107,0.5,1.4,0.2971962616822429,0.3070973842350756,-0.3073245556074768
2018/19,2018-12-22,Man United,Ole Gunnar Solskjær,permanent,195,1.6,2.6,1.1594871794871795,0.7437014538315418,1.0376310112820513
2018/19,2019-01-20,Huddersfield,Mark Hudson,caretaker,57,0.4,0.3,-0.7736842105263158,-0.4459589803191886,-0.7149173722807018
2018/19,2019-02-26,Leicester,Mike Stowell,caretaker,94,1.0,1.9,0.6436170212765957,0.13360345622108244,0.4415770619148936
2018/19,2019-03-03,Fulham,Scott Parker,permanent,88,0.7,0.9,-0.15340909090909088,0.1578534784181081,-0.7540437337500001
2019/20,2019-11-23,Tottenham,José Mourinho,permanent,157,1.0,1.6,0.329299363057325,0.36839399320915045,0.32520566095541403
2019/20,2019-12-01,Arsenal,Freddie Ljungberg,caretaker,218,1.2,1.1,-0.26146788990825676,-0.016965574146361212,0.3107527251376147
2019/20,2019-12-04,Watford,Hayden Mullins,caretaker,84,0.7,1.5,0.41785714285714287,0.40281583427807804,0.8191900036904763
2019/20,2019-12-07,Everton,Duncan Ferguson,caretaker,88,0.7,1.9,0.846590909090909,0.821216887630486,-0.0623369337500001
2019/20,2020-01-01,West Ham,David Moyes,permanent,84,0.7,0.8,-0.2821428571428571,-0.08387127595500404,0.22020422369047632
2020/21,2020-12-20,West Brom,Sam Allardyce,permanent,146,0.6,0.5,-0.554109589041096,-0.3027585373175218,-0.37635268554794515
2020/21,2021-01-27,Chelsea,Thomas Tuchel,permanent,275,1.1,2.2,0.9480000000000001,0.85843798047223,0.4238951115272727
2020/21,2021-03-14,Sheffield United,Paul Heckingbottom,caretaker_made_permanent,237,0.9,0.9,-0.28354430379746837,-0.24860333454777553,-0.6942204552320674
2021/22,2021-11-07,Tottenham,Antonio Conte,permanent,117,1.5,2.1,0.6512820512820514,0.4133664953321846,1.9862509482905986
2021/22,2021-11-20,Norwich,Dean Smith,permanent,66,0.5,0.8,-0.34090909090909083,-0.294086088326576,-0.03720862757575738
2021/22,2021-11-20,Aston Villa,Steven Gerrard,permanent,94,1.0,1.6,0.3436170212765959,0.37864351542331387,0.25104706191489384
2021/22,2021-11-28,Man United,Michael Carrick,caretaker,274,1.3,2.1,0.8175182481751825,0.7682253711042332,0.8732002326277373
2021/22,2022-01-22,Everton,Duncan Ferguson,caretaker,102,0.5,0.6,-0.4862745098039216,-0.6140454678576652,-0.1306899019607844
2021/22,2022-02-05,Watford,Roy Hodgson,permanent,57,0.4,0.8,-0.27368421052631575,-0.17497461568720413,-0.14010317228070168
2021/22,2022-03-05,Leeds,Jesse Marsch,permanent,88,0.7,1.1,0.04659090909090918,-0.05235729329698946,0.6545478662499999
2022/23,2022-10-23,Aston Villa,Aaron Danks,caretaker,211,0.9,1.9,0.6379146919431278,0.6124804327976104,-0.3504274491469195
2022/23,2022-11-12,Southampton,Nathan Jones,permanent,152,0.8,0.6,-0.5901315789473685,-0.6223285384508028,-0.3033290549342106
2022/23,2023-02-04,Everton,Sean Dyche,permanent,85,0.5,1.2,0.15411764705882347,0.3765988684022813,0.029291681176470685
2022/23,2023-02-08,Leeds,Michael Skubala,caretaker,211,0.9,1.1,-0.162085308056872,-0.21470935467345492,-0.5795762491469194
2022/23,2023-03-19,Crystal Palace,Patrick McCarthy,caretaker,85,0.5,1.7,0.6541176470588235,0.2433033192248969,0.8064121411764706
2022/23,2023-04-03,Tottenham,Cristian Stellini,caretaker,195,1.6,1.1,-0.3405128205128205,-0.3232028843197211,-0.06981418871794867
2022/23,2023-04-04,Chelsea,Bruno Saltor,caretaker,289,1.3,0.6,-0.6709342560553634,-0.24929695593608386,-0.9103515643944637
2022/23,2023-04-04,Leicester,Adam Sadler,caretaker,152,0.8,0.9,-0.2901315789473684,-0.44033524426147147,0.03480413506578944
2023/24,2023-12-06,Sheffield United,Chris Wilder,permanent,57,0.4,0.8,-0.27368421052631575,-0.28006593164465216,0.9044801877192981
2023/24,2023-12-23,Nott'm Forest,Nuno Espírito Santo,permanent,146,0.6,1.0,-0.05410958904109597,0.11026253194739816,-0.18306180554794516
2023/24,2024-02-19,Crystal Palace,Ray Lewington,caretaker,147,0.8,1.5,0.4074829931972789,0.35010818409450545,0.6182656978231292
2024/25,2024-11-30,Leicester,Ben Dawson,caretaker,211,0.9,0.4,-0.862085308056872,-0.7190694704440272,-0.012872449146919429
2024/25,2024-12-22,Southampton,Simon Rusk,caretaker,49,0.4,0.4,-0.6551020408163266,-0.6709930176492975,-0.6549250412244901
2024/25,2024-12-22,Wolves,Vítor Pereira,permanent,118,0.8,1.3,0.11949152542372887,0.4332450006296746,0.20440533245762704
2024/25,2025-01-14,West Ham,Graham Potter,permanent,275,1.2,1.1,-0.2519999999999999,-0.26586614631641603,0.2304814115272727
2024/25,2025-01-15,Everton,David Moyes,permanent,152,0.8,1.7,0.5098684210526315,0.32668145033328755,0.8627465450657894
2025/26,2025-11-08,Wolves,Jamie Collins,caretaker,23,0.2,0.4,-0.49130434782608695,-0.27194966517313707,-0.25218284086956516
2025/26,2026-01-04,Chelsea,Calum McFarlane,caretaker,100,1.6,1.8,0.33199999999999996,0.38046212630193466,0.9102845503999998
2025/26,2026-01-07,Man United,Darren Fletcher,caretaker,273,1.4,2.3,0.93003663003663,0.9080944252965734,0.19081023249084253
2025/26,2026-02-22,Tottenham,Igor Tudor,permanent,111,0.7,0.9,-0.19819819819819812,-0.1657824749796013,-0.6337368443243244
2025/26,2026-02-22,Nott'm Forest,Vítor Pereira,permanent,248,0.9,1.6,0.3858870967741936,0.3892693505162383,0.05444085911290328
