event_idx,group,relative_match,points,team,season,manager,appointment_type
203,Changed manager,-10,1.0,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Changed manager,-10,0.0,Aston Villa,2014/15,Tim Sherwood,permanent
504,Changed manager,-10,3.0,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Changed manager,-10,3.0,Aston Villa,2021/22,Steven Gerrard,permanent
657,Changed manager,-10,3.0,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Changed manager,-10,1.0,Chelsea,2015/16,Steve Holland,caretaker
2299,Changed manager,-10,1.0,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Changed manager,-10,3.0,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Changed manager,-10,3.0,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Changed manager,-10,1.0,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Changed manager,-10,0.0,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Changed manager,-10,0.0,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Changed manager,-10,0.0,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Changed manager,-10,0.0,Everton,2019/20,Duncan Ferguson,caretaker
3249,Changed manager,-10,0.0,Everton,2021/22,Duncan Ferguson,caretaker
3288,Changed manager,-10,0.0,Everton,2022/23,Sean Dyche,permanent
3363,Changed manager,-10,0.0,Everton,2024/25,David Moyes,permanent
3432,Changed manager,-10,3.0,Fulham,2018/19,Claudio Ranieri,permanent
3448,Changed manager,-10,1.0,Fulham,2018/19,Scott Parker,permanent
3708,Changed manager,-10,3.0,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Changed manager,-10,3.0,Hull,2016/17,Marco Silva,permanent
3902,Changed manager,-10,0.0,Leeds,2021/22,Jesse Marsch,permanent
3934,Changed manager,-10,0.0,Leeds,2022/23,Michael Skubala,caretaker
4091,Changed manager,-10,0.0,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Changed manager,-10,3.0,Leicester,2018/19,Mike Stowell,caretaker
4322,Changed manager,-10,0.0,Leicester,2022/23,Adam Sadler,caretaker
4344,Changed manager,-10,0.0,Leicester,2024/25,Ben Dawson,caretaker
5489,Changed manager,-10,3.0,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Changed manager,-10,3.0,Man United,2021/22,Michael Carrick,caretaker
5758,Changed manager,-10,1.0,Man United,2025/26,Darren Fletcher,caretaker
5803,Changed manager,-10,0.0,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Changed manager,-10,3.0,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Changed manager,-10,0.0,Newcastle,2015/16,Rafael Benítez,permanent
6319,Changed manager,-10,0.0,Norwich,2021/22,Dean Smith,permanent
6401,Changed manager,-10,1.0,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Changed manager,-10,0.0,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Changed manager,-10,0.0,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Changed manager,-10,0.0,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Changed manager,-10,0.0,Sheffield United,2023/24,Chris Wilder,permanent
6816,Changed manager,-10,1.0,Southampton,2018/19,Kelvin Davis,caretaker
6968,Changed manager,-10,3.0,Southampton,2022/23,Nathan Jones,permanent
7008,Changed manager,-10,0.0,Southampton,2024/25,Simon Rusk,caretaker
7166,Changed manager,-10,0.0,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Changed manager,-10,1.0,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Changed manager,-10,1.0,Swansea,2016/17,Alan Curtis,caretaker
7466,Changed manager,-10,0.0,Swansea,2017/18,Leon Britton,caretaker
7688,Changed manager,-10,0.0,Tottenham,2019/20,José Mourinho,permanent
7762,Changed manager,-10,3.0,Tottenham,2021/22,Antonio Conte,permanent
7818,Changed manager,-10,0.0,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Changed manager,-10,0.0,Tottenham,2025/26,Igor Tudor,permanent
8042,Changed manager,-10,1.0,Watford,2017/18,Javi Gracia,permanent
8108,Changed manager,-10,1.0,Watford,2019/20,Hayden Mullins,caretaker
8152,Changed manager,-10,0.0,Watford,2021/22,Roy Hodgson,permanent
8189,Changed manager,-10,3.0,West Brom,2014/15,Rob Kelly,caretaker
8296,Changed manager,-10,1.0,West Brom,2017/18,Gary Megson,caretaker
8335,Changed manager,-10,0.0,West Brom,2020/21,Sam Allardyce,permanent
8485,Changed manager,-10,0.0,West Ham,2017/18,David Moyes,permanent
8569,Changed manager,-10,1.0,West Ham,2019/20,David Moyes,permanent
8760,Changed manager,-10,1.0,West Ham,2024/25,Graham Potter,permanent
9060,Changed manager,-10,0.0,Wolves,2024/25,Vítor Pereira,permanent
9092,Changed manager,-10,0.0,Wolves,2025/26,Jamie Collins,caretaker
203,Matched controls (kept manager),-10,1.2431192660550459,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Matched controls (kept manager),-10,0.2857142857142857,Aston Villa,2014/15,Tim Sherwood,permanent
504,Matched controls (kept manager),-10,0.5510204081632653,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Matched controls (kept manager),-10,1.5212765957446808,Aston Villa,2021/22,Steven Gerrard,permanent
657,Matched controls (kept manager),-10,1.2559241706161137,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Matched controls (kept manager),-10,1.144736842105263,Chelsea,2015/16,Steve Holland,caretaker
2299,Matched controls (kept manager),-10,1.018181818181818,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Matched controls (kept manager),-10,1.3910034602076125,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Matched controls (kept manager),-10,2.13,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Matched controls (kept manager),-10,0.6306306306306306,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Matched controls (kept manager),-10,0.543859649122807,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Matched controls (kept manager),-10,0.5176470588235295,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Matched controls (kept manager),-10,0.7959183673469388,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Matched controls (kept manager),-10,0.6022727272727273,Everton,2019/20,Duncan Ferguson,caretaker
3249,Matched controls (kept manager),-10,0.5098039215686274,Everton,2021/22,Duncan Ferguson,caretaker
3288,Matched controls (kept manager),-10,0.5176470588235295,Everton,2022/23,Sean Dyche,permanent
3363,Matched controls (kept manager),-10,1.144736842105263,Everton,2024/25,David Moyes,permanent
3432,Matched controls (kept manager),-10,0.5176470588235295,Fulham,2018/19,Claudio Ranieri,permanent
3448,Matched controls (kept manager),-10,0.6022727272727273,Fulham,2018/19,Scott Parker,permanent
3708,Matched controls (kept manager),-10,0.543859649122807,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Matched controls (kept manager),-10,0.6232876712328768,Hull,2016/17,Marco Silva,permanent
3902,Matched controls (kept manager),-10,0.6022727272727273,Leeds,2021/22,Jesse Marsch,permanent
3934,Matched controls (kept manager),-10,1.2559241706161137,Leeds,2022/23,Michael Skubala,caretaker
4091,Matched controls (kept manager),-10,0.5176470588235295,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Matched controls (kept manager),-10,1.5212765957446808,Leicester,2018/19,Mike Stowell,caretaker
4322,Matched controls (kept manager),-10,1.144736842105263,Leicester,2022/23,Adam Sadler,caretaker
4344,Matched controls (kept manager),-10,1.2559241706161137,Leicester,2024/25,Ben Dawson,caretaker
5489,Matched controls (kept manager),-10,1.8615384615384616,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Matched controls (kept manager),-10,1.3868613138686132,Man United,2021/22,Michael Carrick,caretaker
5758,Matched controls (kept manager),-10,1.2820512820512822,Man United,2025/26,Darren Fletcher,caretaker
5803,Matched controls (kept manager),-10,0.543859649122807,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Matched controls (kept manager),-10,1.9378531073446328,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Matched controls (kept manager),-10,0.6022727272727273,Newcastle,2015/16,Rafael Benítez,permanent
6319,Matched controls (kept manager),-10,0.3333333333333333,Norwich,2021/22,Dean Smith,permanent
6401,Matched controls (kept manager),-10,0.6232876712328768,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Matched controls (kept manager),-10,1.060483870967742,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Matched controls (kept manager),-10,1.2457627118644068,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Matched controls (kept manager),-10,0.869198312236287,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Matched controls (kept manager),-10,0.543859649122807,Sheffield United,2023/24,Chris Wilder,permanent
6816,Matched controls (kept manager),-10,0.3925233644859813,Southampton,2018/19,Kelvin Davis,caretaker
6968,Matched controls (kept manager),-10,1.144736842105263,Southampton,2022/23,Nathan Jones,permanent
7008,Matched controls (kept manager),-10,0.5510204081632653,Southampton,2024/25,Simon Rusk,caretaker
7166,Matched controls (kept manager),-10,0.6306306306306306,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Matched controls (kept manager),-10,0.6232876712328768,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Matched controls (kept manager),-10,1.2457627118644068,Swansea,2016/17,Alan Curtis,caretaker
7466,Matched controls (kept manager),-10,0.2727272727272727,Swansea,2017/18,Leon Britton,caretaker
7688,Matched controls (kept manager),-10,1.1592356687898089,Tottenham,2019/20,José Mourinho,permanent
7762,Matched controls (kept manager),-10,1.7863247863247864,Tottenham,2021/22,Antonio Conte,permanent
