season,team,points,points_prev,d_points,expected_d_points,beat_model_by,spend_eur_m,spend_rel,signings,paid_signings,new_manager,xgd_pg
2015/16,Arsenal,71,75,-4,-7.5,3.5,0.0,0.0,0.0,0.0,No,1.04
2016/17,Arsenal,75,71,4,1.2,2.8,72.0,1.37,4.0,4.0,No,0.43
2017/18,Arsenal,63,75,-12,-13.1,1.1,53.0,0.78,2.0,1.0,No,0.62
2018/19,Arsenal,70,63,7,5.7,1.3,77.6,1.22,4.0,4.0,Yes,0.2
2019/20,Arsenal,56,70,-14,-10.0,-4.0,144.1,1.99,5.0,4.0,No,-0.17
2020/21,Arsenal,61,56,5,-7.4,12.4,34.0,0.59,4.0,3.0,No,0.24
2021/22,Arsenal,69,61,8,-0.6,8.6,165.6,2.6,6.0,6.0,No,0.39
2022/23,Arsenal,84,69,15,-8.0,23.0,131.6,1.15,5.0,5.0,No,0.82
2023/24,Arsenal,89,84,5,-12.4,17.4,231.6,1.66,4.0,3.0,No,1.38
2024/25,Arsenal,74,89,-15,-9.3,-5.7,107.6,0.92,5.0,3.0,No,0.88
2025/26,Arsenal,85,74,11,-3.2,14.2,294.6,1.66,8.0,7.0,No,1.17
2015/16,Aston Villa,17,38,-21,4.6,-25.6,52.0,1.2,5.0,5.0,No,-0.85
2020/21,Aston Villa,55,35,20,3.6,16.4,85.6,1.5,5.0,4.0,No,0.09
2021/22,Aston Villa,45,55,-10,-0.3,-9.7,99.8,1.57,5.0,3.0,No,-0.26
2022/23,Aston Villa,61,45,16,0.3,15.7,69.5,0.61,7.0,4.0,No,-0.1
2023/24,Aston Villa,68,61,7,-10.4,17.4,88.0,0.63,5.0,2.0,No,0.06
2024/25,Aston Villa,66,68,-2,-11.6,9.6,176.2,1.51,8.0,8.0,No,0.3
2025/26,Aston Villa,65,66,-1,-9.1,8.1,37.5,0.21,6.0,3.0,No,-0.01
2016/17,Bournemouth,46,42,4,-0.3,4.3,13.5,0.26,3.0,2.0,No,-0.34
2017/18,Bournemouth,44,46,-2,-2.0,0.0,34.3,0.51,2.0,2.0,No,-0.66
2018/19,Bournemouth,45,44,1,-4.5,5.5,56.8,0.89,3.0,3.0,No,-0.1
2019/20,Bournemouth,34,45,-11,3.0,-14.0,47.8,0.66,4.0,3.0,No,-0.49
2023/24,Bournemouth,48,39,9,3.6,5.4,129.9,0.93,9.0,7.0,Yes,-0.05
2024/25,Bournemouth,56,48,8,2.0,6.0,111.3,0.95,8.0,6.0,No,0.49
2025/26,Bournemouth,57,56,1,3.4,-2.4,136.6,0.77,7.0,6.0,No,0.26
2022/23,Brentford,59,46,13,4.6,8.4,48.2,0.42,8.0,3.0,No,0.2
2023/24,Brentford,39,59,-20,-4.2,-15.8,64.8,0.47,6.0,3.0,No,0.11
2024/25,Brentford,56,39,17,11.3,5.7,85.9,0.73,6.0,4.0,No,0.16
2025/26,Brentford,53,56,-3,2.8,-5.8,98.7,0.56,9.0,5.0,Yes,0.19
2018/19,Brighton,36,40,-4,2.9,-6.9,66.2,1.04,11.0,9.0,No,-0.67
2019/20,Brighton,41,36,5,6.5,-1.5,53.3,0.74,3.0,3.0,Yes,-0.34
2020/21,Brighton,41,41,0,1.1,-1.1,3.0,0.05,3.0,2.0,No,0.37
2021/22,Brighton,51,41,10,13.4,-3.4,34.6,0.54,5.0,5.0,No,0.06
2022/23,Brighton,62,51,11,-0.0,11.0,45.7,0.4,5.0,4.0,No,0.73
2023/24,Brighton,48,62,-14,2.1,-16.1,97.7,0.7,7.0,4.0,No,0.03
2024/25,Brighton,61,48,13,10.4,2.6,231.2,1.98,9.0,8.0,Yes,0.16
2025/26,Brighton,53,61,-8,-6.6,-1.4,78.0,0.44,5.0,4.0,No,0.12
2017/18,Burnley,54,40,14,-0.2,14.2,25.5,0.38,4.0,2.0,No,-0.51
2018/19,Burnley,40,54,-14,-11.9,-2.1,16.1,0.25,3.0,2.0,No,-0.56
2019/20,Burnley,54,40,14,-1.3,15.3,12.8,0.18,2.0,2.0,No,-0.12
2020/21,Burnley,39,54,-15,-6.2,-8.8,0.0,0.0,1.0,0.0,No,-0.55
2021/22,Burnley,35,39,-4,0.4,-4.4,31.9,0.5,4.0,3.0,No,-0.5
2015/16,Chelsea,50,87,-37,-12.3,-24.7,75.5,1.74,6.0,5.0,No,0.26
2016/17,Chelsea,93,50,43,12.2,30.8,97.8,1.85,3.0,3.0,Yes,0.87
2017/18,Chelsea,70,93,-23,-17.2,-5.8,168.8,2.49,5.0,5.0,No,0.66
2018/19,Chelsea,72,70,2,2.7,-0.7,137.0,2.16,3.0,2.0,Yes,0.68
2019/20,Chelsea,66,72,-6,-2.0,-4.0,45.0,0.62,1.0,1.0,Yes,0.92
2020/21,Chelsea,67,66,1,10.7,-9.7,267.2,4.67,7.0,5.0,No,0.99
2021/22,Chelsea,74,67,7,4.6,2.4,113.0,1.77,3.0,1.0,No,0.9
2022/23,Chelsea,44,74,-30,-0.9,-29.1,297.8,2.6,9.0,8.0,No,-0.06
2023/24,Chelsea,63,44,19,15.4,3.6,464.1,3.33,12.0,11.0,Yes,0.48
2024/25,Chelsea,69,63,6,5.8,0.2,261.0,2.23,12.0,10.0,Yes,0.5
2025/26,Chelsea,52,69,-17,-4.7,-12.3,336.8,1.9,10.0,9.0,No,0.37
