team,manager,spell_no,start_date,end_date,matches,ppg,xgd_per_game,appointment_type,change_timing,prev_departure,position_at_vacancy
Arsenal,Arsène Wenger,1,2014-08-16,2018-05-13,152,1.87,0.75,first spell in data,,,
Arsenal,Unai Emery,2,2018-08-12,2019-11-23,51,1.73,0.08,permanent,between_seasons,retired,Pre-season
Arsenal,Freddie Ljungberg,3,2019-12-01,2019-12-21,5,1.0,0.17,caretaker,mid_season,,
Arsenal,Mikel Arteta,4,2019-12-26,2026-05-24,248,2.0,0.73,permanent,mid_season,sacked,8th
Aston Villa,Paul Lambert,1,2014-08-16,2015-02-10,25,0.88,-0.56,first spell in data,,,
Aston Villa,Tim Sherwood,2,2015-02-21,2015-10-24,23,0.87,-0.17,permanent,mid_season,sacked,18th
Aston Villa,Kevin MacDonald,3,2015-11-02,2015-11-02,1,0.0,-0.82,caretaker,mid_season,,
Aston Villa,Rémi Garde,4,2015-11-08,2016-03-19,20,0.6,-0.98,permanent,mid_season,sacked,19th
Aston Villa,Eric Black,5,2016-04-02,2016-05-15,7,0.14,-1.53,permanent,mid_season,mutual_consent,20th
Aston Villa,Dean Smith,6,2019-08-10,2021-11-05,87,1.15,-0.34,appointed_outside_pl,between_seasons,,
Aston Villa,Steven Gerrard,7,2021-11-20,2022-10-20,38,1.16,-0.16,permanent,mid_season,sacked,15th
Aston Villa,Aaron Danks,8,2022-10-23,2022-10-29,2,1.5,-0.73,caretaker,mid_season,sacked,17th
Aston Villa,Unai Emery,9,2022-11-06,2026-05-24,139,1.78,0.1,permanent,mid_season,end_of_caretaker,16th
Bournemouth,Eddie Howe,1,2015-08-08,2020-07-26,190,1.11,-0.4,first spell in data,,,
Bournemouth,Scott Parker,2,2022-08-06,2022-08-27,4,0.75,-1.91,caretaker,between_seasons,,
Bournemouth,Gary O'Neil,3,2022-08-31,2023-05-28,34,1.06,-0.58,permanent,mid_season,sacked,17th
Bournemouth,Andoni Iraola,4,2023-08-12,2026-05-24,114,1.41,0.24,permanent,between_seasons,sacked,Pre-season
Brentford,Thomas Frank,1,2021-08-13,2025-05-25,152,1.32,0.14,first spell in data,,,
Brentford,Keith Andrews,2,2025-08-17,2026-05-24,38,1.39,0.19,permanent,between_seasons,left_for_new_job,Pre-season
Brighton,Chris Hughton,1,2017-08-12,2019-05-12,76,1.0,-0.54,first spell in data,,,
Brighton,Graham Potter,2,2019-08-10,2022-09-04,120,1.22,0.07,permanent,between_seasons,sacked,Pre-season
Brighton,Roberto De Zerbi,3,2022-10-01,2024-05-19,70,1.39,0.33,permanent,mid_season,left_for_new_job,4th
Brighton,Fabian Hürzeler,4,2024-08-17,2026-05-24,76,1.5,0.14,permanent,between_seasons,mutual_consent,Pre-season
Burnley,Sean Dyche,1,2014-08-18,2022-04-10,258,1.1,-0.48,first spell in data,,,
Burnley,Mike Jackson,2,2022-04-17,2022-05-22,8,1.38,-0.09,caretaker,mid_season,sacked,18th
Burnley,Vincent Kompany,3,2023-08-11,2024-05-19,38,0.63,-0.85,appointed_outside_pl,between_seasons,,
Burnley,Scott Parker,4,2025-08-16,2026-04-22,34,0.59,-1.22,appointed_outside_pl,between_seasons,,
Burnley,Mike Jackson,5,2026-05-01,2026-05-24,4,0.5,-1.07,caretaker,mid_season,mutual_consent,19th
Cardiff,Neil Warnock,1,2018-08-11,2019-05-12,38,0.89,-0.65,first spell in data,,,
Chelsea,José Mourinho,1,2014-08-18,2015-12-14,54,1.89,0.71,first spell in data,,,
Chelsea,Steve Holland,2,2015-12-19,2015-12-19,1,3.0,1.78,caretaker,mid_season,,
Chelsea,Guus Hiddink,3,2015-12-26,2016-05-15,21,1.52,0.33,permanent,mid_season,sacked,16th
Chelsea,Antonio Conte,4,2016-08-15,2018-05-13,76,2.14,0.77,permanent,between_seasons,end_of_caretaker,Pre-season
Chelsea,Maurizio Sarri,5,2018-08-11,2019-05-12,38,1.89,0.68,permanent,between_seasons,sacked,Pre-season
Chelsea,Frank Lampard,6,2019-08-11,2021-01-19,57,1.67,0.85,permanent,between_seasons,left_for_new_job,Pre-season
Chelsea,Thomas Tuchel,7,2021-01-27,2022-09-03,63,1.94,0.92,permanent,mid_season,sacked,9th
Chelsea,Graham Potter,8,2022-10-01,2023-04-01,22,1.27,0.14,permanent,mid_season,sacked,6th
Chelsea,Bruno Saltor,9,2023-04-04,2023-04-04,1,1.0,1.99,caretaker,mid_season,sacked,11th
Chelsea,Frank Lampard,10,2023-04-08,2023-05-28,9,0.56,-0.73,caretaker,mid_season,end_of_caretaker,11th
Chelsea,Mauricio Pochettino,11,2023-08-13,2024-05-19,38,1.66,0.48,permanent,between_seasons,end_of_caretaker,Pre-season
Chelsea,Enzo Maresca,12,2024-08-18,2025-12-30,57,1.74,0.45,permanent,between_seasons,mutual_consent,Pre-season
Chelsea,Calum McFarlane,13,2026-01-04,2026-01-07,2,0.5,1.2,caretaker,mid_season,,
Chelsea,Liam Rosenior,14,2026-01-17,2026-04-21,13,1.31,0.6,permanent,mid_season,resigned,5th
Chelsea,Calum McFarlane,15,2026-05-04,2026-05-24,4,1.0,-0.66,caretaker,mid_season,sacked,7th
Crystal Palace,Keith Millen,1,2014-08-16,2014-08-23,2,0.0,-1.06,first spell in data,,,
Crystal Palace,Neil Warnock,2,2014-08-30,2014-12-26,16,0.94,-0.05,permanent,mid_season,mutual_consent,Pre-season
Crystal Palace,Keith Millen,3,2014-12-28,2015-01-01,2,1.0,-0.44,caretaker,mid_season,,
Crystal Palace,Alan Pardew,4,2015-01-10,2016-12-17,73,1.21,-0.14,permanent,mid_season,sacked,18th
Crystal Palace,Sam Allardyce,5,2016-12-26,2017-05-21,21,1.24,-0.08,permanent,mid_season,sacked,17th
Crystal Palace,Frank de Boer,6,2017-08-12,2017-09-10,4,0.0,-0.43,permanent,between_seasons,resigned,Pre-season
Crystal Palace,Roy Hodgson,7,2017-09-16,2021-05-23,148,1.22,-0.32,permanent,mid_season,sacked,19th
Crystal Palace,Patrick Vieira,8,2021-08-14,2023-03-15,65,1.15,-0.12,permanent,between_seasons,end_of_contract,Pre-season
Crystal Palace,Patrick McCarthy,9,2023-03-19,2023-03-19,1,0.0,-0.34,caretaker,mid_season,sacked,12th
Crystal Palace,Roy Hodgson,10,2023-04-01,2024-02-12,34,1.24,-0.15,caretaker_made_permanent,mid_season,end_of_caretaker,12th
Crystal Palace,Ray Lewington,11,2024-02-19,2024-02-19,1,1.0,-1.71,caretaker,mid_season,,
Crystal Palace,Oliver Glasner,12,2024-02-24,2026-05-24,89,1.37,0.21,permanent,mid_season,resigned,16th
Everton,Roberto Martínez,1,2014-08-16,2016-05-11,75,1.21,-0.05,first spell in data,,,
