season,date,team,opponent,venue,goals_for,goals_against,points,xg_for,xg_against,head_coach,appointment_type,rolling_ppg_10
2014/15,2014-08-16,Arsenal,Crystal Palace,Home,2,1,3,1.55,0.16,Arsène Wenger,first spell in data,
2014/15,2014-08-23,Arsenal,Everton,Away,2,2,1,1.43,1.33,Arsène Wenger,first spell in data,
2014/15,2014-08-31,Arsenal,Leicester,Away,1,1,1,2.3,0.81,Arsène Wenger,first spell in data,
2014/15,2014-09-13,Arsenal,Man City,Home,2,2,1,2.08,2.31,Arsène Wenger,first spell in data,
2014/15,2014-09-20,Arsenal,Aston Villa,Away,3,0,3,1.36,0.65,Arsène Wenger,first spell in data,
2014/15,2014-09-27,Arsenal,Tottenham,Home,1,1,1,1.26,0.67,Arsène Wenger,first spell in data,
2014/15,2014-10-05,Arsenal,Chelsea,Away,0,2,0,0.33,1.4,Arsène Wenger,first spell in data,
2014/15,2014-10-18,Arsenal,Hull,Home,2,2,1,2.15,0.55,Arsène Wenger,first spell in data,
2014/15,2014-10-25,Arsenal,Sunderland,Away,2,0,3,1.47,0.44,Arsène Wenger,first spell in data,
2014/15,2014-11-01,Arsenal,Burnley,Home,3,0,3,4.33,0.68,Arsène Wenger,first spell in data,1.7
2014/15,2014-11-09,Arsenal,Swansea,Away,1,2,0,1.78,0.52,Arsène Wenger,first spell in data,1.4
2014/15,2014-11-22,Arsenal,Man United,Home,1,2,0,2.0,1.28,Arsène Wenger,first spell in data,1.3
2014/15,2014-11-29,Arsenal,West Brom,Away,1,0,3,1.06,0.32,Arsène Wenger,first spell in data,1.5
2014/15,2014-12-03,Arsenal,Southampton,Home,1,0,3,2.37,0.57,Arsène Wenger,first spell in data,1.7
2014/15,2014-12-06,Arsenal,Stoke,Away,2,3,0,2.02,2.5,Arsène Wenger,first spell in data,1.4
2014/15,2014-12-13,Arsenal,Newcastle,Home,4,1,3,2.39,0.94,Arsène Wenger,first spell in data,1.6
2014/15,2014-12-21,Arsenal,Liverpool,Away,2,2,1,0.75,1.32,Arsène Wenger,first spell in data,1.7
2014/15,2014-12-26,Arsenal,QPR,Home,2,1,3,2.14,1.22,Arsène Wenger,first spell in data,1.9
2014/15,2014-12-28,Arsenal,West Ham,Away,2,1,3,3.36,1.11,Arsène Wenger,first spell in data,1.9
2014/15,2015-01-01,Arsenal,Southampton,Away,0,2,0,0.85,2.41,Arsène Wenger,first spell in data,1.6
2014/15,2015-01-11,Arsenal,Stoke,Home,3,0,3,2.27,0.4,Arsène Wenger,first spell in data,1.9
2014/15,2015-01-18,Arsenal,Man City,Away,2,0,3,1.49,0.56,Arsène Wenger,first spell in data,2.2
2014/15,2015-02-01,Arsenal,Aston Villa,Home,5,0,3,2.36,0.71,Arsène Wenger,first spell in data,2.2
2014/15,2015-02-07,Arsenal,Tottenham,Away,1,2,0,0.83,1.28,Arsène Wenger,first spell in data,1.9
