season,date,team,manager,appointment_type,n_controls,points_before,points_after,points_effect,pts_vs_exp_effect,xg_diff_effect
2014/15,2014-12-28,Crystal Palace,Keith Millen,caretaker,177,0.7,1.5,0.43389830508474575,0.3216074164647329,-0.26210510485875704
2014/15,2015-01-01,Newcastle,John Carver,caretaker_made_permanent,431,1.6,0.9,-0.5296983758700696,-0.559674558775108,-0.2798503094431555
2014/15,2015-01-01,West Brom,Rob Kelly,caretaker,177,0.7,1.6,0.5338983050847459,0.3808537902233432,0.24804498514124293
2014/15,2015-02-07,QPR,Chris Ramsey,caretaker_made_permanent,297,0.8,0.7,-0.42558922558922563,-0.27720530060852133,-1.0879766915824916
2014/15,2015-02-21,Aston Villa,Tim Sherwood,permanent,16,0.3,1.3,0.41874999999999996,0.28523793907068784,0.47355787250000003
2015/16,2015-11-02,Aston Villa,Kevin MacDonald,caretaker,83,0.4,0.4,-0.6759036144578313,-0.4585499594652055,-1.1511903807228918
2015/16,2015-12-12,Swansea,Alan Curtis,caretaker_made_permanent,230,0.6,1.3,0.2656521739130435,0.3204306724636602,-0.014209317521739095
2015/16,2015-12-19,Chelsea,Steve Holland,caretaker,297,0.8,1.8,0.6744107744107745,0.7241819965100017,0.19388510841750836
2015/16,2016-03-14,Newcastle,Rafael Benítez,permanent,177,0.7,1.3,0.2338983050847458,0.10089510711313188,0.34812455514124296
2016/17,2016-12-26,Crystal Palace,Sam Allardyce,permanent,83,0.4,1.0,-0.07590361445783134,-0.19832197453544198,-0.059190780722891634
2016/17,2016-12-31,Swansea,Alan Curtis,caretaker,297,0.8,1.5,0.3744107744107744,0.5336781691559146,-0.19822568158249157
2016/17,2017-01-14,Hull,Marco Silva,permanent,230,0.6,1.4,0.3656521739130434,0.3494343406591224,-0.02295121752173912
2016/17,2017-02-27,Leicester,Craig Shakespeare,caretaker_made_permanent,155,0.5,2.2,1.11741935483871,0.9868336253270367,0.2861914694193547
2016/17,2017-03-19,Middlesbrough,Steve Agnew,caretaker,83,0.4,0.6,-0.47590361445783136,-0.2696152633789973,-0.5084789507228917
2017/18,2017-11-19,West Ham,David Moyes,permanent,464,0.9,1.2,0.01163793103448274,0.1606507073717,0.33286316713362063
2017/18,2017-11-25,West Brom,Gary Megson,caretaker,83,0.4,0.6,-0.47590361445783136,-0.36992685794789076,-0.0711487807228916
2017/18,2017-12-23,Swansea,Leon Britton,caretaker,83,0.4,1.5,0.4240963855421688,0.6118796219152205,-0.39518165072289163
2017/18,2018-01-15,Stoke,Eddie Niedzwiecki,caretaker,177,0.7,0.7,-0.3661016949152543,-0.22261754003102657,-0.04258560485875709
2017/18,2018-01-31,Watford,Javi Gracia,permanent,155,0.5,1.1,0.017419354838709822,0.14485668766904625,-0.2011506305806452
2018/19,2018-11-24,Fulham,Claudio Ranieri,permanent,155,0.5,0.9,-0.18258064516129024,-0.1594941747358558,0.3277540694193549
2018/19,2018-12-05,Southampton,Kelvin Davis,caretaker,155,0.5,1.4,0.31741935483870964,0.32245208890139,-0.31933443058064526
2018/19,2018-12-22,Man United,Ole Gunnar Solskjær,permanent,431,1.6,2.6,1.1703016241299304,0.7677788299745214,1.0289743905568445
2018/19,2019-01-20,Huddersfield,Mark Hudson,caretaker,83,0.4,0.3,-0.7759036144578313,-0.4416910512629338,-0.7404673807228916
2018/19,2019-02-26,Leicester,Mike Stowell,caretaker,313,1.0,1.9,0.6575079872204472,0.1568276957550241,0.47110204063897754
2018/19,2019-03-03,Fulham,Scott Parker,permanent,177,0.7,0.9,-0.16610169491525423,0.12165432119360636,-0.6980079048587571
2019/20,2019-11-23,Tottenham,José Mourinho,permanent,313,1.0,1.6,0.35750798722044735,0.39879810543723254,0.35047244063897764
2019/20,2019-12-01,Arsenal,Freddie Ljungberg,caretaker,468,1.2,1.1,-0.23269230769230756,0.025657259508381797,0.3527960263888889
2019/20,2019-12-04,Watford,Hayden Mullins,caretaker,177,0.7,1.5,0.43389830508474575,0.44244766571278604,0.7703307951412431
2019/20,2019-12-07,Everton,Duncan Ferguson,caretaker,177,0.7,1.9,0.8338983050847457,0.7850177304059842,-0.0063011048587571505
2019/20,2020-01-01,West Ham,David Moyes,permanent,177,0.7,0.8,-0.2661016949152542,-0.044239444520296045,0.1713450151412431
2020/21,2020-12-20,West Brom,Sam Allardyce,permanent,230,0.6,0.5,-0.5343478260869565,-0.29831690393047144,-0.3558353975217391
2020/21,2021-01-27,Chelsea,Thomas Tuchel,permanent,468,1.1,2.2,0.9673076923076924,0.8758273227690694,0.44285302638888885
2020/21,2021-03-14,Sheffield United,Paul Heckingbottom,caretaker_made_permanent,464,0.9,0.9,-0.2883620689655172,-0.2569675411942063,-0.7371268628663793
